state,clim_zone,compl_year,proj_type,ibc_type,park_type,gfa_w_park_imp,gfa_ext_imp,gfa_park_imp,prim_bldg_use,gfa_prim_imp,sec_bldg_use,gfa_sec_imp,occupancy,res_units,bldg_height,therm_env_area,wwr,r_value_walls,r_value_roofs,certifications,seis_site_cls,sdc,wind_speed,str_prim_horiz_sys,str_prim_vert_sys,str_lat_sys,podium,str_sec_horiz_sys,str_sec_vert_sys,col_grid_long,col_grid_short,fdn_type,design_phase,purp_of_assessment,ec_reductions,ec_reduction_percent,ec_redux_bldg_reuse,ec_redux_mat_reuse,ec_redux_alt_str_sys,ec_redux_str_bio_mat,ec_redux_nonstr_bio_mat,ec_redux_str_optimize,ec_redux_concrete_optimize,ec_redux_ext_env_optimize,ec_redux_int_fin_optimize,gfa_without_park_imp,gfa_w_park_m,gfa_without_park_m,gfa_prim_m,gfa_sec_m,gfa_park_ratio,stories_above_grade_bins,stories_below_grade_bins,gfa_w_park_imp_bins,software_version_bins,physical_scope_bins,structural_material_bins,eci_A_to_C,eci_A1-A3,eci_A4,eci_B4-B5,eci_C2-C4,eci_D,eci_A_to_C_substr,eci_A_to_C_superstr,eci_A_to_C_enc,eci_A_to_C_int_con,eci_A_to_C_int_fin,eci_A_to_C_unknown
Alaska,Zone 3A (Warm Humid),2019,New Construction,Type III-B,No Parking,36978,,,Education,36978,Other,,850,,48,63616,,,,Living Building Challenge,D,C,120,Wood: Other,Wood: Mass timber,Steel: Braced frames,Not a podium building,,,23.5,10.5,Shallow foundation,Completed,Required: ILFI Baseline,Yes,,,,,Yes,,,,,,36978,3435.367134,3435.367134,3435.367134,,0,2 to 5,0,"10,001-50,000",Tally LCA,SEI,Steel/Wood,428.688441,364.3822082,5.419225202,60.56742056,36.45723303,-67.16470455,47.11948281,247.2797631,119.888253,14.22227395,20.6283269,8.524972407
Arizona,Zone 4C (Mixed Marine),2025,New Construction,Type I-A,No Parking,157153,,,Education,152966,,,2027,,81.5,,,,,,,D,,Concrete: Other,Concrete: CIP,Concrete: Shear walls,Not a podium building,,,22,,,Design Development,,Yes,,No,No,No,No,No,No,Yes,No,No,157153,14599.98516,14599.98516,14211.0003,,0,2 to 5,1,"100,001-200,000",Tally LCA,SEI,Concrete,248.6168925,511.6207871,5.106109871,46.57230299,73.21559186,-67.49935183,18.87042077,430.009771,102.6473601,26.8468874,2.136787693,14.49146653
British Columbia,Zone 1A (Very Hot Humid),2024,New Construction,Type I-A,No Parking,118178,0,0,Health Care (Inpatient),120000,Health Care (Inpatient),,1364,0,81.3,48063,0.85,,,LEED HC Silver,D,A,195,Steel: Frame + concrete on metal deck,Steel: Columns,Concrete: Shear walls,Primary system defined above is on a podium,Steel: Frame + concrete on metal deck,Concrete: CIP,33,32,Deep foundation < 50' (15m),Construction,Voluntary: Internal Benchmarking,No,,No,No,No,No,Yes,Yes,Yes,No,No,118178,10979.09073,10979.09073,11148.36,,0,2 to 5,0,"100,001-200,000",Tally LCA,SEI,Steel/Concrete,418.433215,403.3515635,6.221019324,98.47778801,41.79203927,-35.59636811,23.1344422,280.4318897,78.56663057,50.01928171,4.602539874,
British Columbia,Zone 3B (Warm Dry),2024,New Construction,Type I-A,Below Grade,902651.5,,229270.6,Laboratory - Wet,473142.2,Office,200238.7,2244.603,0,350,224904.1212,0.378,11.82972763,21.0306269,LEED-CS v4 Gold,D,D,103,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Primary system defined above is on a podium,Concrete: Other,Concrete: Other,33,22,Other Foundation System,Construction Documents,Voluntary: Design Iteration Analysis,Yes,0.13,No,No,No,No,No,Yes,Yes,Yes,No,673380.9,83859.0323,62559.10575,43956.32981,18602.77595,0.340476839,11 or more,3,"Over 400,000",One Click LCA,SE,Steel,303.1346302,242.3727406,7.472059274,13.73255651,3.464870295,,25.78050379,113.0415038,101.2568245,22.03312606,6.994078453,0.327728561
British Columbia,Zone 5B (Cool Dry),2021,New Construction,Type I-A,"Above grade, within footprint of main structure",470043,,129353,Residential: Mulitfamily (5 or more units),340690,Parking,129353,3267,301,70,324348.91,0.24157391,21,38,,D,B,115,Concrete: PT framing,Concrete: CIP,Concrete: Shear walls,Primary system defined above is a podium,Wood: Joists and sheathing,Wood: Light-frame,30,27,Deep foundation < 50' (15m),Completed,Required: Client Directive,No,,No,No,No,Yes,No,No,No,No,No,340690,43668.40483,31651.12307,31651.12307,12017.28176,0.379679474,6 to 10,0,"Over 400,000",One Click LCA,SE,Concrete,391.1295741,171.5416253,18.7451222,47.10246408,7.215508838,,41.83070728,66.29155055,62.48804326,43.80247109,18.1074055,28.05516059
British Columbia,Zone 3B (Warm Dry),2024,New Construction,Type I-A,Below Grade,902651.5,,229270.6,Laboratory - Wet,473142.2,Office,200238.7,2244.603,0,350,224904.1212,0.378,11.82972763,21.0306269,LEED-CS v4 Gold,D,D,103,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Primary system defined above is on a podium,Concrete: Other,Concrete: Other,33,22,Other Foundation System,Construction Documents,Required: LEED Baseline,No,0,No,No,No,No,No,No,No,No,No,673380.9,83859.0323,62559.10575,43956.32981,18602.77595,0.340476839,11 or more,3,"Over 400,000",One Click LCA,SE,Steel,295.8797646,269.4013266,6.6607258,11.24161005,2.434802601,,44.50475623,117.0876694,96.92294708,25.90874984,19.28640165,0.711802633
British Columbia,Zone 3B (Warm Dry),2024,New Construction,Type I-A,Below Grade,902651.5,,229270.6,Laboratory - Wet,473142.2,Office,200238.7,2244.603,0,350,224904.1212,0.378,11.82972763,21.0306269,LEED-CS v4 Gold,D,D,103,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Primary system defined above is on a podium,Concrete: Other,Concrete: Other,33,22,Other Foundation System,Construction Documents,Required: LEED Proposed,Yes,0.054,No,No,No,No,No,No,No,Yes,No,673380.9,83859.0323,62559.10575,43956.32981,18602.77595,0.340476839,11 or more,3,"Over 400,000",One Click LCA,SE,Steel,298.7214325,284.8422032,6.669815935,11.24900245,2.669076948,,44.50475623,117.0876694,109.4073237,29.11600674,19.41616407,0.711802633
British Columbia,Zone 5B (Cool Dry),2021,New Construction,Type I-A,"Above grade, within footprint of main structure",871117,,474299,Office,382305,Mercantile (Retail Other Than Mall),14513,,0,303.67,,,,,Leed v4.0 Gold,D,B,100,Concrete: Precast,Concrete: Precast,Concrete: Shear walls,Not a podium building,,,49.72,30,Deep foundation < 50' (15m),Construction Documents,Required: LEED Proposed,Yes,0.1,No,No,No,No,No,No,Yes,Yes,No,396818,80929.38265,36865.58265,35517.28142,1348.301239,1.19525576,11 or more,1,"Over 400,000",One Click LCA,SE,Concrete,403.0281399,296.2190801,11.16763777,0.182094432,9.670568394,,44.90745229,147.5405043,110.1926969,14.5987272,19.87062609,
British Columbia,Zone 3C (Warm Marine),2022,New Construction,Type I-A,No Parking,178859,,,Residential: Mulitfamily (5 or more units),162102,Mercantile (Retail Other Than Mall),6995,991,193,120,98240,0.65,15,30,LEED v4 BD+C: NC - Silver,D,D,110,Concrete: PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Concrete: PT framing,Concrete: CIP,24,24,Deep foundation > 50' (15m),Completed,Required: LEED Proposed,Yes,0.11,No,No,No,No,No,No,Yes,No,No,178859,16616.53768,16616.53768,15059.76211,649.856485,0,11 or more,1,"100,001-200,000",One Click LCA,SE,Concrete,354.9767759,350.5697898,32.17430191,3.513275818,8.782586471,,61.20762278,199.6787745,75.90416148,9.065485417,41.09744981,48.89400763
British Columbia,Zone 3B (Warm Dry),2023,New Construction,Type I-A,No Parking,250418,0,0,Health Care (Inpatient),250418,,,966,0,77.7,112136,0.25,30,30,,D,D,115,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Moment frames,Not a podium building,,,30,30,Deep foundation < 50' (15m),Construction,Voluntary: Internal Benchmarking,No,,Yes,No,No,No,No,No,No,Yes,No,250418,23264.58345,23264.58345,23264.58345,,0,2 to 5,1,"200,001-400,000",Tally LCA,SEI,Steel,353.1936236,412.3638387,5.295000188,108.6790816,28.38400379,-51.85238827,68.84670344,292.7842661,64.52165144,45.95017603,47.51423326,
